OF,Tc_K,M_mean_kgkmol,gamma,c_star_mps,Me,epsilon,Cf,Isp_s
1.00,889.6,15.5674,1.3362,885.1,3.0825,5.2107,1.4896,134.44
1.05,944.7,15.5323,1.3516,904.3,3.0938,5.0995,1.4854,136.98
1.10,1023.1,15.7322,1.3491,936.6,3.0920,5.1173,1.4861,141.92
1.15,1101.1,15.9662,1.3420,968.8,3.0868,5.1681,1.4880,146.99
1.20,1176.5,16.2006,1.3354,998.3,3.0820,5.2159,1.4898,151.65
1.25,1249.2,16.4313,1.3295,1025.3,3.0775,5.2606,1.4915,155.93
1.30,1319.3,16.6583,1.3239,1050.2,3.0734,5.3024,1.4931,159.89
1.35,1387.2,16.8815,1.3188,1073.2,3.0695,5.3417,1.4946,163.56
1.40,1452.8,17.1011,1.3141,1094.6,3.0659,5.3788,1.4960,166.98
1.45,1516.5,17.3172,1.3097,1114.5,3.0625,5.4138,1.4973,170.17
1.50,1578.3,17.5298,1.3055,1133.1,3.0593,5.4469,1.4986,173.16
1.55,1638.3,17.7391,1.3017,1150.6,3.0562,5.4783,1.4998,175.96
1.60,1696.6,17.9451,1.2980,1166.9,3.0534,5.5081,1.5009,178.59
1.65,1753.3,18.1478,1.2946,1182.2,3.0507,5.5364,1.5020,181.07
1.70,1808.4,18.3473,1.2914,1196.6,3.0481,5.5632,1.5030,183.40
1.75,1862.0,18.5438,1.2884,1210.2,3.0457,5.5888,1.5040,185.61
1.80,1914.2,18.7372,1.2855,1223.0,3.0434,5.6132,1.5049,187.69
1.85,1965.0,18.9275,1.2828,1235.1,3.0412,5.6365,1.5058,189.66
1.90,2014.5,19.1149,1.2803,1246.6,3.0392,5.6586,1.5067,191.52
1.95,2062.7,19.2994,1.2778,1257.4,3.0372,5.6798,1.5075,193.29
2.00,2109.7,19.4811,1.2755,1267.6,3.0353,5.7001,1.5083,194.96
2.05,2155.4,19.6598,1.2734,1277.3,3.0335,5.7195,1.5091,196.55
2.10,2200.0,19.8358,1.2713,1286.5,3.0318,5.7381,1.5098,198.06
2.15,2243.4,20.0089,1.2693,1295.2,3.0302,5.7559,1.5105,199.50
2.20,2285.7,20.1794,1.2674,1303.5,3.0286,5.7729,1.5111,200.86
2.25,2326.9,20.3471,1.2656,1311.4,3.0271,5.7893,1.5118,202.16
2.30,2367.0,20.5121,1.2639,1318.8,3.0257,5.8050,1.5124,203.39
2.35,2406.1,20.6744,1.2622,1325.9,3.0243,5.8200,1.5130,204.56
2.40,2444.2,20.8340,1.2607,1332.6,3.0230,5.8345,1.5135,205.67
2.45,2481.2,20.9911,1.2592,1339.0,3.0217,5.8484,1.5141,206.73
2.50,2517.2,21.1455,1.2577,1345.1,3.0205,5.8618,1.5146,207.74
2.55,2552.3,21.2973,1.2564,1350.8,3.0194,5.8747,1.5151,208.70
2.60,2586.3,21.4466,1.2551,1356.3,3.0183,5.8871,1.5156,209.61
2.65,2619.5,21.5932,1.2538,1361.5,3.0172,5.8990,1.5160,210.48
2.70,2651.6,21.7374,1.2526,1366.4,3.0162,5.9104,1.5165,211.30
2.75,2682.9,21.8790,1.2514,1371.1,3.0152,5.9214,1.5169,212.08
2.80,2713.2,22.0182,1.2503,1375.5,3.0142,5.9321,1.5173,212.82
2.85,2742.6,22.1548,1.2492,1379.7,3.0133,5.9423,1.5177,213.52
2.90,2771.2,22.2889,1.2482,1383.6,3.0124,5.9521,1.5181,214.19
2.95,2798.8,22.4206,1.2472,1387.3,3.0116,5.9615,1.5185,214.81
3.00,2825.5,22.5498,1.2463,1390.8,3.0108,5.9706,1.5188,215.41
3.05,2851.3,22.6765,1.2454,1394.1,3.0100,5.9793,1.5192,215.96
3.10,2876.2,22.8008,1.2445,1397.2,3.0093,5.9877,1.5195,216.49
3.15,2900.3,22.9227,1.2437,1400.1,3.0086,5.9957,1.5198,216.98
3.20,2923.4,23.0421,1.2429,1402.8,3.0079,6.0034,1.5201,217.44
3.25,2945.7,23.1590,1.2422,1405.3,3.0073,6.0108,1.5204,217.87
3.30,2967.1,23.2735,1.2415,1407.6,3.0066,6.0179,1.5207,218.27
3.35,2987.6,23.3856,1.2408,1409.7,3.0060,6.0246,1.5209,218.64
3.40,3007.2,23.4952,1.2401,1411.7,3.0055,6.0310,1.5212,218.98
3.45,3026.0,23.6024,1.2395,1413.5,3.0049,6.0372,1.5214,219.29
3.50,3043.8,23.7072,1.2389,1415.1,3.0044,6.0430,1.5217,219.57
3.55,3060.9,23.8096,1.2384,1416.5,3.0039,6.0485,1.5219,219.83
3.60,3077.0,23.9095,1.2378,1417.8,3.0035,6.0538,1.5221,220.05
3.65,3092.3,24.0070,1.2373,1418.9,3.0030,6.0587,1.5223,220.26
3.70,3106.8,24.1022,1.2369,1419.9,3.0026,6.0634,1.5225,220.43
3.75,3120.4,24.1950,1.2364,1420.7,3.0023,6.0678,1.5226,220.58
3.80,3133.2,24.2854,1.2360,1421.4,3.0019,6.0719,1.5228,220.71
3.85,3145.3,24.3735,1.2356,1421.9,3.0016,6.0758,1.5230,220.82
3.90,3156.6,24.4594,1.2353,1422.3,3.0012,6.0794,1.5231,220.90
3.95,3167.1,24.5430,1.2349,1422.6,3.0010,6.0828,1.5232,220.96
4.00,3176.9,24.6244,1.2346,1422.7,3.0007,6.0859,1.5234,221.00
4.05,3186.0,24.7037,1.2343,1422.7,3.0004,6.0888,1.5235,221.02
4.10,3194.4,24.7809,1.2341,1422.7,3.0002,6.0915,1.5236,221.03
4.15,3202.2,24.8560,1.2338,1422.5,3.0000,6.0940,1.5237,221.01
4.20,3209.4,24.9291,1.2336,1422.2,2.9998,6.0962,1.5238,220.98
4.25,3216.0,25.0003,1.2334,1421.9,2.9996,6.0983,1.5238,220.94
4.30,3222.0,25.0696,1.2332,1421.4,2.9994,6.1002,1.5239,220.88
4.35,3227.5,25.1371,1.2330,1420.9,2.9993,6.1019,1.5240,220.81
4.40,3232.5,25.2028,1.2329,1420.3,2.9992,6.1034,1.5240,220.72
4.45,3237.0,25.2668,1.2327,1419.6,2.9990,6.1048,1.5241,220.63
4.50,3241.1,25.3291,1.2326,1418.9,2.9989,6.1061,1.5241,220.52
4.55,3244.8,25.3899,1.2325,1418.1,2.9988,6.1071,1.5242,220.40
4.60,3248.0,25.4491,1.2324,1417.2,2.9988,6.1081,1.5242,220.27
4.65,3250.9,25.5068,1.2323,1416.3,2.9987,6.1089,1.5243,220.14
4.70,3253.4,25.5631,1.2323,1415.4,2.9986,6.1096,1.5243,220.00
4.75,3255.6,25.6180,1.2322,1414.4,2.9986,6.1102,1.5243,219.85
4.80,3257.5,25.6715,1.2322,1413.4,2.9985,6.1107,1.5243,219.69
4.85,3259.1,25.7238,1.2321,1412.3,2.9985,6.1111,1.5243,219.53
4.90,3260.4,25.7749,1.2321,1411.2,2.9985,6.1114,1.5244,219.36
4.95,3261.5,25.8247,1.2321,1410.1,2.9985,6.1116,1.5244,219.19
5.00,3262.3,25.8734,1.2321,1409.0,2.9984,6.1117,1.5244,219.02
5.05,3262.9,25.9209,1.2321,1407.8,2.9984,6.1117,1.5244,218.84
5.10,3263.3,25.9674,1.2321,1406.6,2.9984,6.1117,1.5244,218.65
5.15,3263.5,26.0129,1.2321,1405.4,2.9985,6.1116,1.5244,218.46
5.20,3263.5,26.0573,1.2321,1404.2,2.9985,6.1114,1.5244,218.27
5.25,3263.3,26.1007,1.2321,1403.0,2.9985,6.1112,1.5243,218.08
5.30,3263.0,26.1433,1.2321,1401.8,2.9985,6.1109,1.5243,217.89
5.35,3262.4,26.1849,1.2322,1400.5,2.9985,6.1106,1.5243,217.69
5.40,3261.8,26.2256,1.2322,1399.2,2.9986,6.1102,1.5243,217.49
5.45,3261.0,26.2655,1.2323,1398.0,2.9986,6.1097,1.5243,217.29
5.50,3260.1,26.3045,1.2323,1396.7,2.9987,6.1092,1.5243,217.09
5.55,3259.1,26.3427,1.2324,1395.4,2.9987,6.1087,1.5242,216.89
5.60,3257.9,26.3802,1.2324,1394.1,2.9988,6.1081,1.5242,216.68
5.65,3256.6,26.4169,1.2325,1392.8,2.9988,6.1075,1.5242,216.48
5.70,3255.3,26.4529,1.2325,1391.5,2.9989,6.1069,1.5242,216.27
5.75,3253.8,26.4882,1.2326,1390.2,2.9989,6.1062,1.5241,216.06
5.80,3252.3,26.5228,1.2327,1388.9,2.9990,6.1055,1.5241,215.86
5.85,3250.7,26.5567,1.2327,1387.6,2.9990,6.1047,1.5241,215.65
5.90,3249.0,26.5899,1.2328,1386.3,2.9991,6.1039,1.5241,215.44
5.95,3247.2,26.6226,1.2329,1385.0,2.9992,6.1031,1.5240,215.24
6.00,3245.3,26.6546,1.2330,1383.7,2.9993,6.1023,1.5240,215.03
6.05,3243.4,26.6860,1.2331,1382.4,2.9993,6.1015,1.5240,214.82
6.10,3241.4,26.7168,1.2332,1381.1,2.9994,6.1006,1.5239,214.61
6.15,3239.4,26.7471,1.2332,1379.8,2.9995,6.0997,1.5239,214.41
6.20,3237.3,26.7768,1.2333,1378.5,2.9996,6.0988,1.5239,214.20
6.25,3235.1,26.8060,1.2334,1377.2,2.9996,6.0978,1.5238,213.99
6.30,3232.9,26.8346,1.2335,1375.9,2.9997,6.0969,1.5238,213.79
6.35,3230.7,26.8628,1.2336,1374.6,2.9998,6.0959,1.5237,213.58
6.40,3228.4,26.8904,1.2337,1373.3,2.9999,6.0949,1.5237,213.38
6.45,3226.1,26.9176,1.2338,1372.0,3.0000,6.0939,1.5237,213.17
6.50,3223.7,26.9443,1.2339,1370.7,3.0001,6.0929,1.5236,212.97
6.55,3221.3,26.9705,1.2340,1369.5,3.0002,6.0919,1.5236,212.76
6.60,3218.9,26.9962,1.2341,1368.2,3.0002,6.0909,1.5235,212.56
6.65,3216.4,27.0216,1.2342,1366.9,3.0003,6.0898,1.5235,212.36
6.70,3213.9,27.0465,1.2343,1365.7,3.0004,6.0887,1.5235,212.16
6.75,3211.4,27.0710,1.2344,1364.4,3.0005,6.0877,1.5234,211.96
6.80,3208.8,27.0950,1.2345,1363.2,3.0006,6.0866,1.5234,211.76
6.85,3206.2,27.1187,1.2347,1361.9,3.0007,6.0855,1.5233,211.56
6.90,3203.6,27.1420,1.2348,1360.7,3.0008,6.0844,1.5233,211.36
6.95,3201.0,27.1649,1.2349,1359.4,3.0009,6.0833,1.5232,211.16
7.00,3198.3,27.1874,1.2350,1358.2,3.0010,6.0822,1.5232,210.96
7.05,3195.7,27.2095,1.2351,1357.0,3.0011,6.0810,1.5232,210.76
7.10,3193.0,27.2313,1.2352,1355.8,3.0012,6.0799,1.5231,210.57
7.15,3190.3,27.2528,1.2353,1354.5,3.0013,6.0788,1.5231,210.37
7.20,3187.6,27.2739,1.2354,1353.3,3.0014,6.0776,1.5230,210.18
7.25,3184.8,27.2946,1.2356,1352.1,3.0015,6.0765,1.5230,209.99
7.30,3182.1,27.3151,1.2357,1350.9,3.0016,6.0753,1.5229,209.79
7.35,3179.3,27.3352,1.2358,1349.7,3.0017,6.0741,1.5229,209.60
7.40,3176.5,27.3550,1.2359,1348.6,3.0018,6.0730,1.5228,209.41
7.45,3173.7,27.3745,1.2360,1347.4,3.0019,6.0718,1.5228,209.22
7.50,3170.9,27.3937,1.2361,1346.2,3.0020,6.0706,1.5228,209.03
7.55,3168.1,27.4126,1.2363,1345.0,3.0021,6.0694,1.5227,208.85
7.60,3165.3,27.4312,1.2364,1343.9,3.0022,6.0683,1.5227,208.66
7.65,3162.5,27.4495,1.2365,1342.7,3.0023,6.0671,1.5226,208.47
7.70,3159.7,27.4675,1.2366,1341.5,3.0024,6.0659,1.5226,208.29
